1,12,0,2641
1,26,0,4716
1,27,0,5471
2,26,0,6976
2,27,0,1937
3,12,0,0196
3,26,0,2549
3,27,0,5882
5,7,0,0303
5,12,0,0151
5,26,0,6111
5,27,0,2979
6,12,0,2676
6,26,0,6197
6,27,0,5352
8,12,0,0071
8,26,0,8417
8,27,0,1582
10,7,0,0049
10,12,0,0922
10,26,0,4064
10,27,0,5685
11,7,0,0145
11,12,0,0218
11,26,0,5109
11,27,0,6277
12,12,0,0434
12,26,0,5652
12,27,0,3478
13,12,0,0185
13,26,0,3148
13,27,0,2777
16,12,0,0285
16,26,0,4285
16,27,0,7142
17,7,0,0047
17,12,0,0094
17,26,0,4075
17,27,0,2132
18,12,0,0721
18,26,0,4098
18,27,0,4360
19,7,0,0039
19,12,0,0666
19,26,0,2313
19,27,0,3843
21,12,0,0909
21,26,0,1363
21,27,0,7727
22,7,0,0033
22,12,0,0202
22,26,0,2794
22,27,0,5252
24,7,0,0073
24,12,0,0514
24,26,0,6397
24,27,0,5588
25,7,0,0117
25,12,0,0117
25,26,0,2823
25,27,0,3764
26,12,0,035
26,26,0,5125
26,27,0,5725
27,12,0,0142
27,26,0,6285
27,27,0,4428
28,12,0,0560
28,26,0,5887
28,27,0,3738
29,12,0,0092
29,26,0,3055
29,27,0,1111
30,7,0,0465
30,12,0,0232
30,26,0,7209
30,27,0,2325
31,7,0,0084
31,12,0,0588
31,26,0,3361
31,27,0,8907
33,7,0,0076
33,12,0,0434
33,26,0,5012
33,27,0,2327
34,12,0,0243
34,26,0,5304
34,27,0,75
35,12,0,1414
35,26,0,6969
35,27,0,4090
36,7,0,0284
36,12,0,0227
36,26,0,4273
36,27,0,4301
38,7,0,01
38,12,0,07
38,26,0,79
38,27,0,57
39,26,0,4032
39,27,0,4677
40,12,0,0312
40,26,0,3333
40,27,0,2604
42,7,0,0043
42,12,0,0129
42,26,0,2554
42,27,0,2900
44,12,0,0829
44,26,0,2901
44,27,0,4870
45,12,0,0505
45,26,0,6161
45,27,0,7946
48,7,0,0050
48,12,0,0618
48,26,0,3612
48,27,0,4832
49,7,0,0092
49,12,0,0740
49,26,0,3055
49,27,0,3055
50,12,0,0465
50,26,0,4186
50,27,0,3953
53,7,0,0014
53,12,0,0657
53,26,0,4985
53,27,0,3070
55,7,0,04
55,26,0,56
55,27,0,24
57,12,0,0625
57,26,0,3125
57,27,0,4218
58,7,0,0045
58,12,0,0366
58,26,0,3729
58,27,0,3295
59,7,0,0046
59,12,0,1408
59,26,0,7183
59,27,0,2676
60,26,0,3428
60,27,0,4571
62,7,0,0060
62,12,0,0401
62,26,0,6124
62,27,0,3413
63,7,0,0204
63,26,0,4591
63,27,0,4285
65,7,0,0082
65,12,0,0413
65,26,0,4793
65,27,0,3223
66,12,0,1538
66,26,0,4615
66,27,0,5
67,12,0,0156
67,26,0,875
67,27,0,2031
70,12,0,0370
70,26,0,3888
70,27,0,4444
71,12,0,0344
71,26,0,3448
71,27,0,2413
73,12,0,0235
73,26,0,1921
73,27,0,4156
75,12,0,1657
75,26,0,1714
75,27,0,9371
78,12,0,3071
78,26,0,4357
78,27,0,8642
80,12,0,1041
80,26,0,5833
80,27,0,375
81,7,0,0116
81,12,0,0232
81,26,0,5697
81,27,0,2558
82,26,0,5169
82,27,0,1864
83,12,0,0202
